name,district,address,phone,website,specialty_tags
惟新動物醫院,中山區,明水路672巷34號1樓,02-85023725,,
成功動物醫院,中山區,天祥路3號1樓,02-25218001,,
東宏動物醫院,中山區,吉林路432號1樓,02-25957366,,
歐歐妮動物醫院,中山區,北安路627號,02-85091366,,
沐沐特寵動物醫院,中山區,龍江路78號,02-77137707,,
波拉動物醫院,中山區,長安東路2段12號,02-25116151,,
皇合動物醫院,中山區,建國北路3段121號,02-25183325,,
禾芮犬貓專科醫院,中山區,明水路692號,02-85011267,,
米亞動物醫院,中山區,民權東路2段57號1樓,02-25923556,,
紀劃犬貓專科醫院,中山區,民生東路1段83號,02-25212205,,
美加璦動物醫院,中山區,龍江路443巷1之2號1樓,02-25054989,,
興安動物醫院,中山區,興安街89號1樓,02-25048179,,
華遠動物醫院,中山區,長春路336號1樓,02-27131187,,
萌醫生動物醫院,中山區,長安東路2段108號4樓之1,02-75130182,,
諾亞動物醫院,中山區,吉林路166號1樓,02-25642121,,
貝恩動物醫院,中山區,民權東路3段8號-1,02-27407366,,
長宏動物醫院,中山區,吉林路173號1樓,02-25678939,,
集英動物醫院,中山區,長安東路1段61-1號,02-77136111,,
龍江獸醫院,中山區,龍江路21巷1號1樓,02-27722223,,
中正犬貓醫院,中正區,重慶南路3段60~4號2樓,02-23054880,,
享家動物醫院,中正區,牯嶺街臨15-1號,,,
佑昇動物醫院,中正區,羅斯福路3段38號1樓,02-23656729,,
來旺動物醫院,中正區,重慶南路3段50號1樓,02-23051120,,
博愛動物醫院,中正區,杭州南路2段92號1樓,02-33938850,,
古亭動物醫院,中正區,羅斯福路2段138號1樓,02-23693373,,
台灣動物醫院,中正區,忠孝東路2段74號1樓,02-23412128,,
大安動物醫院公館分院,中正區,羅斯福路4段162號1樓,02-23586770,,
寶寶新動物醫院,中正區,南昌路1段39號,02-23677624,,
專心動物醫院,中正區,仁愛路1段47號,02-23633016,,
康廷動物醫院,中正區,和平西路2段58-1號1樓,02-23095001,,
恩孺動物診所,中正區,金山南路1段92號1樓,02-23942821,,
瀚生動物醫院,中正區,新生南路1段144~1號1樓,02-23581765,,
紀劃動物醫院,中正區,和平西路1段150-1號,,,
名冠動物醫院,信義區,中坡南路207號1樓,02-27590447,,
和動物醫院,信義區,基隆路1段115號1樓,,,
大愛動物醫院,信義區,松德路74號1樓,02-87805116,,
安安動物醫院,信義區,松德路57號1樓,02-27281315,,
安興動物醫院,信義區,吳興街478號1樓,02-87803433,,
恩加動物醫院,信義區,松山路315~2號1樓,02-87877551,,
愛心動物醫院,信義區,光復南路563號1樓,02-23451633,,
文逸動物醫院,信義區,和平東路3段391巷8弄27號1樓,02-27322254,,
星光動物醫院,信義區,莊敬路325巷23號,02-27582738,,
星辰動物醫院,信義區,松隆路225號1樓,02-27611199,,
松山動物醫院,信義區,松山路275號1樓,02-27673322,,
橡果動物醫院,信義區,林口街228號1樓,02-27272121,,
欣旺動物醫院,信義區,松山路265號1樓,02-27618013,,
欣欣動物醫院,信義區,松隆路286-1號1樓,02-27681119,,
永春動物醫院,信義區,忠孝東路5段424號1樓,02-87898849,,
沐樂動物醫院,信義區,忠孝東路4段559巷30號1樓,02-27699899,,
玉山動物醫院,信義區,信義路6段37號1樓,02-23466659,,
立健動物醫院,信義區,和平東路3段255號1樓,02-27339102,,
詠欣動物醫院,信義區,莊敬路428號1樓,02-27202631,,
豐德動物醫院,信義區,莊敬路235號1樓,02-27588292,,
陽光動物醫院,信義區,林口街222號1樓,02-27279922,,
亞馬森特寵專科醫院,內湖區,內湖路2段39-2號1樓,02-87923248,,
佳康動物醫院,內湖區,康寧路3段169-1號1樓,02-26318345,,
佳恩動物醫院,內湖區,成功路4段311號1樓,02-27941290,,
健生動物醫院,內湖區,成功路4段182巷8弄4號1樓,02-27910198,,
光點犬貓專科醫院,內湖區,內湖路2段468、470號1樓,02-27900180,,
內湖動物醫院,內湖區,內湖路1段45號1樓,02-27992011,,
全國動物醫院台北分院,內湖區,舊宗路1段30巷13號1樓,02-87918706,,
全安動物醫院,內湖區,東湖路113巷54號1樓,02-26336495,,
利昂動物醫院,內湖區,文德路217號,02-27975507,,
加洲動物醫院,內湖區,文德路9號1樓,02-27987942,,
勝利動物醫院,內湖區,康樂街116之2號1樓,02-26327815,,
大湖動物醫院,內湖區,成功路5段10號1樓,02-27968241,,
宇恒動物醫院,內湖區,民權東路6段57號1樓,02-27951676,,
安家行動寵物醫院,內湖區,成功路3段174巷17弄5號1樓,,,
康泰動物醫院,內湖區,康樂街164-1號1樓,02-26313068,,
德安動物醫院,內湖區,內湖路1段611號1樓,02-26582478,,
東湖動物醫院,內湖區,東湖路43巷15號1樓,02-26332220,,
核心動物醫院,內湖區,舊宗路1段50號,02-87910059,,
樂沛動物醫院,內湖區,成功路4段368號1樓,02-27909218,,
港墘動物醫院,內湖區,港墘路109~2號1樓,02-26575990,,
納嘉動物醫院,內湖區,成功路5段55號1樓,02-26330555,,
維康動物醫院,內湖區,成功路3段150號1樓,02-27937293,,
興沛動物醫院,內湖區,內湖路1段91巷32號,02-27977553,,
艾美動物醫院台北總院,內湖區,港墘路107號1樓,02-26580768,,
西湖動物醫院,內湖區,內湖路1段341之2號1樓,02-27990700,,
角落動物醫院,內湖區,金湖路22號1樓,02-27926858,,
長慶動物醫院,內湖區,東湖路7巷7號1樓,02-26331257,,
默墨犬貓專科醫院,內湖區,成功路3段83-1號1樓,,,
中英動物醫院,北投區,中央北路1段149、151號1樓,02-28936119,,
丹堤動物醫院,北投區,知行路208~2號1樓,02-55865668,,
全民動物醫院北投分院,北投區,懷德街6之3號1樓,02-28939752,,
劍橋動物醫院,北投區,石牌路2段332~1號1樓,02-28721398,,
加生動物醫院,北投區,石牌路1段95號1樓,02-28207218,,
北投動物醫院,北投區,中央北路2段60~1號1樓,02-28928665,,
和欣動物醫院,北投區,雙全街7號1樓,02-28973439,,
大同動物醫院,北投區,中央北路2段112號1樓,02-28959607,,
旺旺動物醫院,北投區,東華街2段2號1樓,02-28203693,,
明德動物醫院,北投區,明德路115號1樓,02-28239018,,
杜瑪動物醫院,北投區,大業路541號1樓,02-28977779,,
湖光動物醫院,北投區,大業路631號1樓,02-28966079,,
百威動物醫院,北投區,中和街288號1樓,02-28910951,,
萬達動物醫院,北投區,義理街18號1樓,02-28210585,,
禾亞動物醫院,北投區,北投路2段19號1樓,02-28986072,,
聯合家畜醫院,北投區,裕民一路 40巷29號1樓,02-28282117,,
豐茂動物醫院,北投區,中正街57號1樓,02-28210824,,
中研動物醫院,南港區,研究院路1段72號1樓,02-26512100,,
亞各特殊寵物醫院,南港區,研究院路一段101巷12號1樓,02-26533636,,
勾勾動物醫院,南港區,重陽路144號,02-26510144,,
小布動物醫院,南港區,永吉路548號,02-26547337,,
啟正動物醫院,南港區,南港路1段289~1號1樓,02-26517616,,
洪生動物醫院,南港區,忠孝東路7段571號1樓,02-27833715,,
祐熙動物醫院,南港區,玉成街66-26號,02-26519198,,
純粹動物醫院,南港區,興中路80巷24號,02-27860673,,
維恩動物醫院,南港區,東新街132號1樓,02-26515527,,
世東動物醫院,士林區,士東路39號1樓,02-28712529,,
中興動物醫院,士林區,延平北路6段245號1樓,02-28113970,,
信達犬貓專科醫院,士林區,華齡街22巷15弄5號1樓,02-28812150,,
劉動物醫院,士林區,士東路298號1樓,02-28365679,,
厚德動物醫院,士林區,華齡街54號1樓,02-28831716,,
台愛動物醫院,士林區,中正路629號1樓,02-88115729,,
唯安動物醫院,士林區,承德路4段18號1,02-28851695,,
士林獸醫院,士林區,中正路379號1樓,02-28822193,,
大業動物醫院,士林區,延平北路5段314號,02-28107070,,
天母家畜醫院,士林區,中山北路6段431之3號1樓,02-28746381,,
尼古拉動物醫院,士林區,克強路23號1樓,02-28323386,,
布達羊急診動物醫院,士林區,忠誠路1段102號,02-28341119,,
常源動物醫院,士林區,德行東路189號1樓,02-28370616,,
微笑動物醫院,士林區,中山北路7段163號1樓,02-28730728,,
忠誠獸醫院,士林區,文林路734號1樓,02-28351390,,
恩萊動物醫院,士林區,承德路4段294號1樓,02-28882468,,
昌展動物醫院,士林區,延平北路6段160號1樓,02-28169197,,
查米動物醫院,士林區,忠誠路2段70巷4號1樓,02-28316759,,
楊動物醫院,士林區,中山北路6段368號1樓,02-28717261,,
溫莎動物醫院,士林區,德行東路83號1樓,02-28345969,,
社子動物醫院,士林區,延平北路5段191號1樓,02-28165355,,
福臨動物醫院,士林區,中山北路5段519號1樓,02-28836500,,
芝山動物醫院,士林區,文林路762-2號1樓,02-28328385,,
阿牛犬貓急診醫院,士林區,基河路238號1樓,02-28827381,,
陽明家畜醫院,士林區,天母東路1之6號1樓,02-28726911,,
不萊梅特殊寵物專科醫院,大同區,民權西路227號、237之8號1樓,02-25993907,,
傑翔動物醫院,大同區,民權西路270之2號1樓,02-25573343,,
全民連鎖動物醫院總院,大同區,民生西路247、249號1、2樓,02-25530371,,
凡賽爾賽鴿寵物鳥醫院,大同區,民族西路53號1樓,02-25869933,,
圓山動物醫院,大同區,酒泉街129號,,,
大眾家畜醫院,大同區,重慶北路3段51號1樓,02-25861518,,
弘愛犬貓專科醫院,大同區,民生西路105號1樓,02-25503892,,
慈愛動物醫院寧夏分院,大同區,寧夏路1號,02-25563320,,
旺竹動物醫院,大同區,承德路3段142號,02-25996230,,
晨光動物醫院,大同區,重慶北路2段47號1樓,02-25583347,,
正安動物醫院,大同區,民權西路240號1樓,02-25571757,,
永新動物醫院,大同區,重慶北路3段185號1樓,02-25982889,,
牧光特殊寵物專科醫院,大同區,民族西路65號,02-25926590,,
皇家動物醫院,大同區,民族西路228號1樓,02-25960967,,
長沁動物醫院,大同區,承德路3段9號1樓,02-25992119,,
長青動物醫院急診科分院,大同區,長安西路289-1號,02-25591793,,
中心動物醫院,大安區,仁愛路4段411~1號1樓,02-27410443,,
五洲動物醫院,大安區,新生南路1段137-2、137-3號1樓,02-27079477,,
亞洲獸醫專科醫院,大安區,安和路2段171巷5號1樓,02-27081488,,
仁愛動物醫院,大安區,仁愛路4段228之5號1樓,02-27029165,,
佑仁動物醫院,大安區,和平東路1段200號1樓,02-23635377,,
名人維東尼動物醫院,大安區,建國南路1段358號,02-27090123,,
國立台灣大學生物資源暨農學院附設動物醫院,大安區,基隆路3段153號,02-27396828,,
如是居家安寧緩和行動獸醫院,大安區,忠孝東路4段2號5樓之1,,,
安庭動物醫院,大安區,金山南路2段139號1樓及地下1樓,02-23923655,,
宏成動物醫院,大安區,和平東路3段66-1號1樓,02-23780228,,
富康動物醫院,大安區,建國南路1段298號1樓,02-27020135,,
寵樂動物醫院,大安區,文昌街89號1樓,02-27087967,,
小王子貓專科醫院,大安區,建國南路2段197號,02-27061297,,
左岸動物醫院大安院,大安區,羅斯福路3段331樓,02-23650580,,
幸福動物醫院,大安區,延吉街251號1樓,02-27005277,,
龐龐毛小孩動物醫院,大安區,安和路2段68號、70號,02-27080112,,
心傳動物醫院,大安區,和平東路2段339號1樓,02-27555568,,
愛貓園動物醫院,大安區,基隆路2段124號,02-27363521,,
戴瑩乾動物醫院,大安區,延吉街91號1樓,02-27310809,,
敦化動物醫院,大安區,敦化南路1段279號1樓,02-27080284,,
明誠動物醫院,大安區,瑞安街45號1樓,02-27086310,,
曾安動物醫院,大安區,通化街148號1樓,02-27383248,,
杜克動物醫院,大安區,和平東路3段117號1、2樓,02-87324789,,
極光動物醫院,大安區,建國南路2段31號,02-27848211,,
樂田動物醫院,大安區,建國南路1段161號1樓,02-27785580,,
毛派樂動物醫院,大安區,建國南路2段151巷47號1樓,02-37076711,,
澄毅動物醫院,大安區,安和路2段171巷13號1樓,02-27334341,,
王樣動物醫院,大安區,金華街217號1樓,02-23570217,,
碩聯動物醫院,大安區,復興南路2段342-1號1樓,02-27366549,,
聖地牙哥動物醫院,大安區,羅斯福路3段65號3樓之1,02-23643458,,
萊特動物醫院,大安區,辛亥路1段50號,02-23658628,,
見安獸醫院,大安區,四維路170巷45號1樓,02-27070989,,
貓醫生的貓診所,大安區,忠孝東路3段194號2樓之1,02-27715810,,
遠見動物醫院,大安區,和平東路2段68號1樓,02-23775388,,
麟安動物醫院,大安區,和平東路3段324號,02-27383008,,
世安動物醫院,文山區,興隆路3段298~2號1樓,02-22306841,,
亞太動物醫院,文山區,景福街244號1樓及地下1樓,02-29300005,,
再興動物醫院,文山區,興隆路1段1號1樓,02-29342899,,
加恩動物醫院,文山區,木柵路1段102號1樓,02-22360117,,
品安動物醫院,文山區,羅斯福路6段89號1樓,02-29359188,,
大群動物醫院,文山區,羅斯福路6段136號1樓,02-29305557,,
安心動物醫院,文山區,羅斯福路5段17號1樓,02-29326935,,
康禾動物醫院,文山區,興隆路4段159之1號1樓,02-29374998,,
景文動物醫院,文山區,景文街29號1樓,02-89319955,,
景美動物醫院,文山區,羅斯福路6段6號1樓,02-29310850,,
景興動物醫院,文山區,景華街92號1樓,02-29330600,,
木新獸醫院,文山區,木新路3段133~2號1樓,02-29362748,,
朱動物醫院,文山區,仙岩路62號1樓,02-29332880,,
正吉動物醫院,文山區,羅斯福路5段47~1號1樓,02-29347505,,
維拉動物醫院,文山區,興隆路1段94號1樓,02-29333872,,
締爾動物醫院,文山區,樟新街11之1號、11之2號,02-29388211,,
自強動物醫院,文山區,興隆路4段108號1樓,02-29372852,,
路加動物醫院,文山區,興隆路2段187號,02-55852108,,
達仁動物醫院,文山區,木柵路2段133號1樓,02-29371558,,
靜心獸醫院,文山區,興隆路2段13號1樓,02-29330562,,
中山動物醫院,松山區,民權東路3段140巷5號1樓及106巷3弄8號1樓,02-27196996,,
人人愛動物醫院,松山區,延吉街46之3號1樓,02-25778182,,
全陽犬貓專科醫院,松山區,八德路4段305號1樓,02-27627945,,
南京太僕動物醫院,松山區,南京東路5段286號,02-27562005,,
台北動物醫院,松山區,光復北路164號1樓,02-27176036,,
台欣動物醫院,松山區,健康路187號1樓,02-25285119,,
嘉寵動物醫院,松山區,八德路4段8號1樓,02-27669089,,
嘉慶動物醫院,松山區,八德路4段214-1號1樓,02-87879121,,
寵博健康動物醫院,松山區,三民路108號之21,02-87683086,,
小王子動物醫院,松山區,松八德路4段123號1樓,02-25676897,,
小王子動物醫院復健分院,松山區,松八德路4段123號1樓,02-25221097,,
復興動物醫院,松山區,八德路2段381號1樓,02-27711414,,
恩亞動物醫院,松山區,健康路325巷14號1樓,02-27678889,,
新亞動物醫院,松山區,延壽街330巷3號1樓,02-27457119,,
日健動物綜合醫院,松山區,光復北路6~2號1樓,02-25707508,,
曼哈頓動物醫院,松山區,市民大道4段77號1樓,02-27815203,,
泰山動物醫院,松山區,光復南路52號1樓,02-25792650,,
澄諾動物醫院,松山區,富錦街461號,02-27653160,,
澤禾動物醫院,松山區,健康路288號,02-27616267,,
興泰動物醫院,松山區,延吉街57號1樓,02-25795722,,
良醫動物醫院,松山區,八德路4段188號1樓,02-27615091,,
豐盛動物醫院,松山區,光復北路46號1樓,02-25785605,,
貓瘋非營利慈善貓專科醫院,松山區,八德路4段216號,02-29103877,,
隆記動物醫院,松山區,民生東路5段212巷1號1樓,02-27607639,,
保全獸醫院,萬華區,西藏路324、326號1樓,02-23024375,,
古德動物醫院,萬華區,西園路2段194號1樓,02-23088289,,
寶血動物醫院,萬華區,中華路2段6號,02-23880110,,
展望動物醫院,萬華區,中華路2段2號,02-23880122,,
康寧動物醫院,萬華區,長沙街2段157號1樓,02-23831528,,
志誠動物醫院,萬華區,萬大路536號1樓,02-23056634,,
環南動物醫院,萬華區,和平西路3段205號1樓,02-23020109,,
萬華動物醫院,萬華區,昆明街165號1樓,02-23614831,,
翊心動物醫院,萬華區,西園路2段175號1樓,02-23055518,,
艋舺動物醫院,萬華區,萬大路365號1樓,02-23010365,,
華中動物醫院,萬華區,萬大路227號1樓,02-23328572,,
長青動物醫院,萬華區,廣州街78號1樓、78-1號1、2樓,02-23369908,,
雙園動物醫院,萬華區,西園路2段105號1樓,02-23084409,,
